id,name,color
7985,cdtA,#FFFF00
7984,cdtB,#FFFF00
7728,cdtC,#FFFF00
5663,clbB,#F6C6AD
5589,clbH,#F6C6AD
5640,clbQ,#F6C6AD
5988,clbR,#F6C6AD
5596,hbd/clbD,#F6C6AD
5599,srfAA/clbN,#F6C6AD
3645,HlyD family secretion protein,#A6CAEC
3620,fimA,#CAEEFB
4339,icsA,#C2F1C8
3484,irp1,#84E291
3586,irp2,#84E291
4514,iucD,#F2CFEE
10540,ptxA,#4E95D9
3509,ybcL,#D1D1D1
3351,ydeR,#46B1E1
3343,yehA,#FFC000
3116,yehD,#FFC000
1273,yehE,#FFC000
3258,yehH,#FFC000
6652,VapA/VapB family virulence-associated protein,#B851FF
