ST,n_in_tree,n_total,fraction_in_tree
11,7,3050,0.0022950819672131148
131,18,761,0.023653088042049936
73,9,431,0.02088167053364269
95,10,286,0.03496503496503497
21,6,209,0.028708133971291867
17,8,184,0.043478260869565216
69,8,163,0.049079754601226995
442,9,124,0.07258064516129033
10,19,106,0.1792452830188679
33,7,104,0.0673076923076923
12,8,101,0.07920792079207921
16,9,101,0.0891089108910891
127,10,96,0.10416666666666667
32,6,90,0.06666666666666667
335,9,59,0.15254237288135594
59,19,58,0.3275862068965517
25,9,58,0.15517241379310345
393,7,53,0.1320754716981132
405,18,49,0.3673469387755102
144,9,38,0.23684210526315788
678,8,38,0.21052631578947367
6,9,36,0.25
517,8,35,0.22857142857142856
141,8,35,0.22857142857142856
62,10,35,0.2857142857142857
245,7,30,0.23333333333333334
504,6,29,0.20689655172413793
655,10,29,0.3448275862068966
328,9,27,0.3333333333333333
200,10,26,0.38461538461538464
300,6,26,0.23076923076923078
297,9,26,0.34615384615384615
1804,1,26,0.038461538461538464
1967,1,26,0.038461538461538464
152,9,25,0.36
648,10,25,0.4
583,9,24,0.375
416,0,24,0.0
14,3,23,0.13043478260869565
80,9,23,0.391304347826087
357,10,23,0.43478260869565216
404,3,23,0.13043478260869565
501,10,22,0.45454545454545453
34,9,20,0.45
675,8,19,0.42105263157894735
29,2,19,0.10526315789473684
3,9,19,0.47368421052631576
1833,0,15,0.0
1193,1,14,0.07142857142857142
2966,0,13,0.0
5292,2,13,0.15384615384615385
421,0,12,0.0
550,1,12,0.08333333333333333
23,5,11,0.45454545454545453
998,2,10,0.2
410,3,9,0.3333333333333333
343,1,9,0.1111111111111111
386,0,9,0.0
137,3,8,0.375
811,0,8,0.0
4748,0,8,0.0
31,3,7,0.42857142857142855
6880,2,7,0.2857142857142857
1024,0,7,0.0
43,0,7,0.0
7714,0,7,0.0
104,1,6,0.16666666666666666
106,1,6,0.16666666666666666
5241,1,5,0.2
4305,0,5,0.0
390,0,5,0.0
79,0,5,0.0
1057,1,5,0.2
6956,0,4,0.0
1618,0,4,0.0
723,1,4,0.25
1825,0,4,0.0
4942,0,4,0.0
7653,0,3,0.0
6667,0,3,0.0
8210,0,3,0.0
5316,0,3,0.0
5337,0,3,0.0
8345,0,3,0.0
5360,0,2,0.0
5343,1,2,0.5
74,0,2,0.0
369,0,2,0.0
7444,1,2,0.5
5370,0,2,0.0
122,1,2,0.5
5368,0,2,0.0
1394,0,2,0.0
8295,0,2,0.0
1595,0,2,0.0
5353,0,2,0.0
1231,0,2,0.0
7252,0,2,0.0
1792,0,2,0.0
5425,0,2,0.0
5491,0,2,0.0
5669,1,2,0.5
7028,0,2,0.0
7007,0,2,0.0
8270,0,2,0.0
631,1,2,0.5
7006,0,2,0.0
829,0,2,0.0
8290,0,2,0.0
7005,0,2,0.0
2230,0,2,0.0
964,1,1,1.0
6130,1,1,1.0
1154,0,1,0.0
113,0,1,0.0
6265,0,1,0.0
6668,0,1,0.0
6628,0,1,0.0
6208,0,1,0.0
968,0,1,0.0
643,0,1,0.0
6366,0,1,0.0
6248,1,1,1.0
6346,0,1,0.0
6277,0,1,0.0
6267,0,1,0.0
8510,0,1,0.0
7641,0,1,0.0
6939,0,1,0.0
827,0,1,0.0
8408,0,1,0.0
8341,0,1,0.0
8328,0,1,0.0
8310,0,1,0.0
8303,0,1,0.0
8301,0,1,0.0
8300,0,1,0.0
8293,0,1,0.0
8280,0,1,0.0
8275,0,1,0.0
8269,0,1,0.0
7026,0,1,0.0
961,1,1,1.0
8053,1,1,1.0
7953,1,1,1.0
7861,0,1,0.0
1502,1,1,1.0
7703,0,1,0.0
8422,1,1,1.0
7216,0,1,0.0
7031,0,1,0.0
703,1,1,1.0
61,0,1,0.0
5609,1,1,1.0
598,0,1,0.0
5332,0,1,0.0
5286,1,1,1.0
1663,0,1,0.0
5297,0,1,0.0
5315,0,1,0.0
5325,0,1,0.0
5326,1,1,1.0
5339,0,1,0.0
5253,0,1,0.0
5346,0,1,0.0
5351,0,1,0.0
5355,0,1,0.0
5356,0,1,0.0
5357,0,1,0.0
5364,0,1,0.0
5274,0,1,0.0
5243,0,1,0.0
5369,0,1,0.0
415,0,1,0.0
2619,0,1,0.0
2618,1,1,1.0
376,0,1,0.0
396,1,1,1.0
2020,0,1,0.0
2013,0,1,0.0
1979,0,1,0.0
5242,0,1,0.0
1810,0,1,0.0
4702,1,1,1.0
4862,0,1,0.0
1786,0,1,0.0
1753,1,1,1.0
5233,1,1,1.0
5365,0,1,0.0
5377,1,1,1.0
597,0,1,0.0
5618,0,1,0.0
5546,0,1,0.0
5555,0,1,0.0
5560,0,1,0.0
5561,0,1,0.0
5604,0,1,0.0
3352,0,1,0.0
5630,0,1,0.0
5526,0,1,0.0
5639,1,1,1.0
5642,0,1,0.0
5646,0,1,0.0
5661,0,1,0.0
5678,0,1,0.0
1531,0,1,0.0
5543,0,1,0.0
5520,0,1,0.0
5387,0,1,0.0
5432,0,1,0.0
5389,0,1,0.0
5407,0,1,0.0
5412,0,1,0.0
5413,1,1,1.0
5417,0,1,0.0
5429,0,1,0.0
5457,0,1,0.0
5496,0,1,0.0
5461,0,1,0.0
5468,0,1,0.0
5476,0,1,0.0
5484,0,1,0.0
5485,0,1,0.0
5494,1,1,1.0
5384,0,1,0.0
