isolate,n_genes,ST,Phylogroup
41004_G02_contigs_pacbio,293,11,E
50884_F01_contigs_pacbio,292,11,E
AIAW00000000,294,11,E
AIBY00000000,291,11,E
AIFN00000000,292,11,E
NC_002655,293,11~,E
NC_002695,296,11,E
NC_011353,297,11,E
NC_013008,297,11,E
NC_017906,296,11,E
SRR4783376_trimmed,288,11,E
SRR4786521_trimmed,287,11,E
SRR4786865_trimmed,290,11,E
SRR4787166_trimmed,289,11,E
SRR4787173_trimmed,285,11,E
SRR4787294_trimmed,287,11,E
SRR4787327_trimmed,279,11,E
SRR4787420_trimmed,240,11~,E
SRR4787801_trimmed,279,11,E
SRR4787822_trimmed,286,11,E
SRR4787863_trimmed,292,11,E
SRR4787877_trimmed,298,11,E
SRR4787900_trimmed,286,11,E
SRR4787910_trimmed,290,11,E
SRR4788005_trimmed,256,11,E
SRR4788199_trimmed,290,11,E
SRR4788200_trimmed,297,11,E
SRR4788249_trimmed,285,11,E
SRR4788273_trimmed,291,11,E
SRR4788356_trimmed,290,11,E
SRR4788375_trimmed,293,11,E
SRR4897104_trimmed,290,11~,E
SRR4897168_trimmed,267,11,E
SRR4897184_trimmed,287,1804,E
SRR4897202_trimmed,279,11,E
SRR4897210_trimmed,289,11,E
SRR4897263_trimmed,293,1804,E
SRR4897299_trimmed,289,11,E
SRR4897327_trimmed,288,11,E
SRR4897442_trimmed,288,11,E
SRR4897452_trimmed,286,11,E
SRR4897495_trimmed,291,11,E
SRR4897496_trimmed,282,11,E
SRR4897521_trimmed,284,11,E
SRR4897589_trimmed,277,11,E
SRR4897676_trimmed,291,11,E
SRR4897694_trimmed,292,11,E
SRR4897710_trimmed,285,11,E
SRR4897719_trimmed,281,11,E
SRR4897818_trimmed,290,11,E
SRR5005285_trimmed,283,11,E
SRR5005308_trimmed,289,11,E
SRR5005608_trimmed,288,11,E
SRR5005609_trimmed,285,11,E
SRR5006234_trimmed,290,11,E
SRR5006335_trimmed,288,11,E
SRR5017297_trimmed,276,11,E
SRR5017321_trimmed,273,11,E
SRR5017328_trimmed,282,11,E
SRR5017329_trimmed,286,11,E
SRR5017398_trimmed,279,11,E
SRR5017403_trimmed,280,11,E
SRR5018259_trimmed,269,11,E
SRR5018324_trimmed,280,11,E
SRR5018343_trimmed,290,11~,E
SRR5023908_trimmed,284,11,E
SRR5023911_trimmed,293,11,E
SRR5023912_trimmed,288,11,E
SRR5023916_trimmed,290,11,E
SRR5023936_trimmed,292,11,E
SRR5024190_trimmed,290,11,E
SRR5024214_trimmed,292,11,E
SRR5029675_trimmed,280,11,E
SRR5029699_trimmed,295,11,E
SRR5029846_trimmed,287,11,E
SRR5029854_trimmed,293,11,E
SRR5030813_trimmed,292,1804,E
SRR5034902_trimmed,284,11,E
SRR5034940_trimmed,288,11,E
SRR5034942_trimmed,268,11,E
SRR5034944_trimmed,284,11,E
SRR5034947_trimmed,287,11,E
SRR5038906_trimmed,289,11,E
SRR5904104_trimmed,284,11,E
SRR6051719_trimmed,268,11~,E
SRR6051734_trimmed,266,11~,E
SRR6051735_trimmed,286,7006,E
SRR6051736_trimmed,263,11~,E
SRR6051739_trimmed,270,11,E
SRR6051747_trimmed,277,11~,E
SRR6051750_trimmed,282,11,E
SRR6051751_trimmed,286,11,E
SRR6051752_trimmed,284,11,E
SRR6051844_trimmed,290,11~,E
SRR6051850_trimmed,288,11,E
SRR6051867_trimmed,289,11,E
SRR6051873_trimmed,293,11~,E
SRR6051875_trimmed,294,11,E
SRR6052044_trimmed,285,11,E
SRR6052125_trimmed,296,11,E
SRR6052126_trimmed,294,11,E
SRR6052173_trimmed,269,11~,E
SRR6052733_trimmed,270,11~,E
SRR6052785_trimmed,290,11,E
SRR6052803_trimmed,287,11,E
SRR6079209_trimmed,287,11,E
SRR6079230_trimmed,287,11,E
SRR6079233_trimmed,288,11,E
SRR6079445_trimmed,295,11,E
SRR6473356_trimmed,290,11,E
SRR6816928_trimmed,291,11,E
SRR6816930_trimmed,252,11~,E
SRR6816931_trimmed,292,11,E
SRR6816933_trimmed,292,11,E
SRR6816934_trimmed,285,11,E
SRR6816935_trimmed,295,11~,E
SRR6816937_trimmed,295,11,E
SRR6816941_trimmed,266,11,E
SRR6816942_trimmed,293,11,E
SRR6816946_trimmed,294,11,E
SRR6816951_trimmed,295,11,E
SRR6816955_trimmed,283,11,E
SRR6820839_trimmed,283,11,E
SRR6820992_trimmed,292,11~,E
SRR6821002_trimmed,294,11,E
SRR6821003_trimmed,296,11,E
SRR6821007_trimmed,295,11,E
SRR6821010_trimmed,293,11,E
SRR6821013_trimmed,293,11,E
SRR6821014_trimmed,283,11,E
SRR6821015_trimmed,296,11,E
SRR6821016_trimmed,292,11,E
SRR6821017_trimmed,294,11,E
SRR6872951_trimmed,292,11,E
SRR6872954_trimmed,292,11,E
SRR6872955_trimmed,210,11~,E
SRR6872956_trimmed,293,11,E
SRR6872957_trimmed,281,11,E
SRR6872961_trimmed,291,11,E
SRR6872962_trimmed,239,11,E
SRR7163885_trimmed,278,11~,E
SRR7163886_trimmed,290,11,E
SRR7163888_trimmed,289,11,E
SRR7163889_trimmed,259,11~,E
SRR7163890_trimmed,286,11~,E
SRR7163893_trimmed,291,11,E
SRR7163896_trimmed,284,11,E
SRR7163900_trimmed,286,11,E
SRR7163901_trimmed,286,11~,E
SRR7163913_trimmed,293,11,E
SRR7163914_trimmed,262,11~,E
SRR7163915_trimmed,289,11,E
SRR7163926_trimmed,289,11,E
SRR7163929_trimmed,266,11~,E
SRR7163933_trimmed,291,1804~,E
SRR7163934_trimmed,287,11,E
SRR7163940_trimmed,285,11,E
SRR7163947_trimmed,271,11,E
SRR7167518_trimmed,287,11,E
SRR7167523_trimmed,289,11,E
SRR7167525_trimmed,295,11,E
SRR7167526_trimmed,291,11,E
SRR7167541_trimmed,288,11,E
SRR7172279_trimmed,279,11,E
SRR7172290_trimmed,287,11,E
SRR7172298_trimmed,295,11,E
SRR7172299_trimmed,295,11,E
SRR7179946_trimmed,290,11,E
SRR7179947_trimmed,292,11,E
SRR7180037_trimmed,291,11,E
SRR7184207_trimmed,260,11~,E
SRR7184208_trimmed,274,11,E
SRR7184209_trimmed,270,11~,E
SRR7184214_trimmed,286,11,E
SRR7184234_trimmed,294,11,E
SRR7184236_trimmed,282,11,E
SRR7184239_trimmed,283,11,E
SRR7184268_trimmed,292,11,E
SRR7184271_trimmed,289,11,E
SRR7184306_trimmed,290,11,E
SRR7184307_trimmed,292,11,E
SRR7184310_trimmed,293,11,E
